PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Liu, ZY; Phares, BM; Shi, WZ; Shafei, B				Liu, Zhengyu; Phares, Brent M.; Shi, Weizhuo; Shafei, Behrouz			Full-Scale Evaluation of an Innovative Joint Design between Adjacent Box Beams	TRANSPORTATION RESEARCH RECORD			English	Article								The longitudinal joints on adjacent precast, prestressed box beams used in bridge construction are vulnerable to cracking. These cracks provide a direct path for water and deleterious agents to enter the structural system, causing corrosion of the embedded steel bars and tendons. To avoid significant maintenance costs, safety concerns, or both, an innovative longitudinal joint between two adjacent box beams was designed in the current study. This joint is 61/2 in. wide with roughened surfaces, filled with shrinkage compensating concrete and reinforced by steel bars. The joint was evaluated on a small-scale basis and satisfactory performance was obtained in resisting early-age cracks. In the current paper, the joint design is further evaluated through experiments on a 31 ft long specimen during the joint's early age, and when it is subjected to multiple levels of cyclic loads. A finite element (FE) model that is capable of simulating the early-age concrete hardening was also developed and validated against the experimental data. The early-age, time-dependent stress development in the joint and at the interface of the joint and box beam was investigated using the FE model. Based on the results of laboratory tests and FE simulations, the innovative joint was found to remain crack free without the utilization of a shear key or transverse post-tensioning. The "compression-dominate" joint created by the expansive joint material and transverse reinforcing bars across the interface is expected to address the issues associated with early age, while ensuring the long-term durability and performance of box-beam bridges.	[Liu, Zhengyu] Iowa State Univ, Bridge Engn Ctr, Ames, IA 50011 USA; [Phares, Brent M.; Shi, Weizhuo; Shafei, Behrouz] Iowa State Univ, Dept Civil Construct & Environm Engn, Ames, IA USA	Liu, ZY (corresponding author), Iowa State Univ, Bridge Engn Ctr, Ames, IA 50011 USA.	zhengyu@iastate.edu	Shafei, Behrouz/AAM-5561-2021; Shi, Weizhuo/ABC-8951-2020	Shafei, Behrouz/0000-0001-5677-6324; Shi, Weizhuo/0000-0001-8193-0098	Iowa Department of Transportation	The authors acknowledge the Iowa Department of Transportation for sponsoring this project.		14	2	2	1	6	SAGE PUBLICATIONS INC	THOUSAND OAKS	2455 TELLER RD, THOUSAND OAKS, CA 91320 USA	0361-1981	2169-4052		TRANSPORT RES REC	Transp. Res. Record	FEB	2020	2674	2					33	44	0361198120902695	10.1177/0361198120902695		JAN 2020	12	Engineering, Civil; Transportation; Transportation Science & Technology	Engineering; Transportation	LB3GW	WOS:000510734800001					2021-09-15	
J	Azizi, V; Hu, GP				Azizi, Vahid; Hu, Guiping			A branch and bound algorithm to solve a two-machine no-wait flowshop scheduling problem with truncated learning function	INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE AND ENGINEERING MANAGEMENT			English	Article						Flowshop; scheduling; no-wait; truncated learning; branch and bound algorithm; heuristic	DEPENDENT SETUP TIMES; SINGLE-MACHINE; MINIMIZE	This paper addresses a two-machine no-wait flowshop problem with the effect of the truncated learning function of jobs whose actual processing times depend on their positions in the sequence. By considering truncated learning effect, the actual processing time of a job is a function of its position index in the schedule and a control parameter. In a production scenario with truncated learning effect, the actual processing time of a job will not be lower than a threshold when the number of processed jobs increases. We develop a branch and bound algorithm to minimize the makespan. A lower bound and a dominance property have been proposed to increase the speed of elimination process in the branch and bound algorithm.	[Azizi, Vahid; Hu, Guiping] Iowa State Univ, Dept Ind & Mfg Syst Engn, Ames, IA 50011 USA	Hu, GP (corresponding author), Iowa State Univ, Dept Ind & Mfg Syst Engn, Ames, IA 50011 USA.	gphu@iastate.edu	Hu, Guiping/AAT-4414-2020	Hu, Guiping/0000-0001-8392-8442				17	3	3	0	4	TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND	1750-9653	1750-9661		INT J MANAG SCI ENG	Int. J. Manag. Sci. Eng. Manag.		2020	15	2					89	95		10.1080/17509653.2019.1633965			7	Operations Research & Management Science	Operations Research & Management Science	LG7FR	WOS:000528262600002					2021-09-15	
C	Deep, V; Narayanan, V; Wymore, M; Qiao, DJ; Duwe, H			IEEE COMP SOC	Deep, Vishal; Narayanan, Vishak; Wymore, Mathew; Qiao, Daji; Duwe, Henry			HARC: A Heterogeneous Array of Redundant Persistent Clocks for Batteryless, Intermittently-Powered Systems	2020 IEEE 41ST REAL-TIME SYSTEMS SYMPOSIUM (RTSS)	Real-Time Systems Symposium-Proceedings		English	Proceedings Paper	41st IEEE Real-Time Systems Symposium (RTSS)	DEC 01-04, 2020	ELECTR NETWORK	IEEE, IEEE Comp Soc		Batteryless Intermittent Devices; Energy Harvesting; Persistent Clocks; Hardware-Software Integration; System Prototype; Lifecycle Management Protocol		Batteryless sensing devices powered solely by ambient energy sources are expected to operate in an intermittent manner, since they do not have a predictable, or even continuous, energy supply. When such an intermittent system is powered off, it cannot keep track of time using conventional means. However, a continuous sense of time is critical for any system running real-time or time-sensitive applications. In this paper, we present HARC (Heterogeneous Array of Redundant Persistent Clocks), a novel solution to the problem of timekeeping for batteryless, intermittently-powered systems. HARC uses a heterogeneous, redundant array of capacitor-based persistent clocks that each decay in parallel, but at different rates, to provide variation-resilient high accuracy over a wide range of power off-times. We demonstrate the feasibility and effectiveness of HARC using experimental evaluations on a HARC prototype, and trace-based simulations of HARC-supported communication directly between two devices intermittently-powered by RF harvesting.	[Deep, Vishal; Narayanan, Vishak; Wymore, Mathew; Qiao, Daji; Duwe, Henry] Iowa State Univ, Dept Elect & Comp Engn, Ames, IA 50011 USA	Deep, V (corresponding author), Iowa State Univ, Dept Elect & Comp Engn, Ames, IA 50011 USA.	vdeep@iastate.edu; vishakn@iastate.edu; mlwymore@iastate.edu; daji@iastate.edu; duwe@iastate.edu			U.S. National Science FoundationNational Science Foundation (NSF) [1730275, 2008548]	We would like to thank Shen Fu for contributions to the LMP simulator. This work was supported in part by the U.S. National Science Foundation under Grants 1730275 and 2008548. We would also like to thank reviewers for their insightful comments and suggestions.		41	0	0	0	0	IEEE COMPUTER SOC	LOS ALAMITOS	10662 LOS VAQUEROS CIRCLE, PO BOX 3014, LOS ALAMITOS, CA 90720-1264 USA	1052-8725		978-1-7281-8324-4	REAL TIM SYST SYMP P			2020							270	282		10.1109/RTSS49844.2020.00033			13	Computer Science, Information Systems; Computer Science, Theory & Methods; Engineering, Electrical & Electronic	Computer Science; Engineering	BR9ZP	WOS:000680435100023					2021-09-15	
J	Dougherty, BW; Pederson, CH; Mallarino, AP; Andersen, DS; Soupir, ML; Kanwar, RS; Helmers, MJ				Dougherty, Brian W.; Pederson, Carl H.; Mallarino, Antonio P.; Andersen, Daniel S.; Soupir, Michelle L.; Kanwar, Ramesh S.; Helmers, Matthew J.			Midwestern cropping system effects on drainage water quality and crop yields	JOURNAL OF ENVIRONMENTAL QUALITY			English	Article							RYE COVER CROP; SUBSURFACE DRAINAGE; MISSISSIPPI RIVER; PHOSPHORUS LOSSES; NITROGEN UPTAKE; TILE DRAINAGE; SWINE MANURE; CORN; TILLAGE; NITRATE	Grain producers are challenged to maximize crop production while utilizing nutrients efficiently and minimizing negative impacts on water quality. There is a particular concern about nutrient export to the Gulf of Mexico via loss from subsurface drainage systems. The objective of this study was to investigate the effects of crop rotation, tillage, crop residue removal, swine manure applications, and cereal rye (Secale cereale L.) cover crops on nitrate-N (NO3-N) and total reactive phosphorus (TRP) loss via subsurface drainage. The study was evaluated from 2008 through 2015 using 36 0.4-ha plots outfitted with a subsurface drainage water quality monitoring system. Results showed that when swine manure was applied before both corn (Lea mays L.) and soybean [Glycine max (L.) Merr.], drainage water had significantly higher 8-yr-average flow-weighted NO3-N concentrations compared with swine manure applied before corn only in a corn-soybean rotation. The lowest NO3-N loss was 15.2 kg N ha(-1) yr(-1 )from a no-till corn-soybean treatment with rye cover crop and spring application of urea-ammonium nitrate (UAN) to corn. The highest NO3-N loss was 29.5 kg N ha(-1) yr(-1 ) from swine manure applied to both corn and soybean. A rye cover crop reduced NO3-N loss, whereas tillage and residue management had little impact on NO3-N loss. Losses of TRP averaged <32 g Pha(-1) yr(-1 ) from all treatments. Corn yield was negatively affected by both no-till management and cereal rye cover crops. Results showed that cropping management affected N leaching but impacts on P leaching were minimal.	[Dougherty, Brian W.] Iowa State Univ, Extens & Outreach, 14858 West Ridge Lane,Suite 2, Dubuque, IA 52003 USA; [Pederson, Carl H.; Andersen, Daniel S.; Soupir, Michelle L.; Kanwar, Ramesh S.; Helmers, Matthew J.] Iowa State Univ, Dept Agr & Biosyst Engn, 1340 Elings Hall,605 Bissell Rd, Ames, IA 50011 USA; [Mallarino, Antonio P.] Iowa State Univ, Dept Agron, 3216 Agron Hall,716 Farm House Ln, Ames, IA 50011 USA	Dougherty, BW (corresponding author), Iowa State Univ, Extens & Outreach, 14858 West Ridge Lane,Suite 2, Dubuque, IA 52003 USA.	brian1@iastate.edu	Kanwar, Rameshwar/AAA-7853-2021		Leopold Center for Sustainable Agriculture; Iowa Nutrient Research Center	Leopold Center for Sustainable Agriculture; Iowa Nutrient Research Center		53	2	2	6	20	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0047-2425	1537-2537		J ENVIRON QUAL	J. Environ. Qual.	JAN-FEB	2020	49	1					38	49		10.1002/jeq2.20007			12	Environmental Sciences	Environmental Sciences & Ecology	LE1XJ	WOS:000526516900004	33016359	Green Published			2021-09-15	
J	Gupta, A; Zhang, Z				Gupta, Amulya; Zhang, Zhu			Swings and Roundabouts: Attention-Structure Interaction Effect in Deep Semantic Matching	IEEE-ACM TRANSACTIONS ON AUDIO SPEECH AND LANGUAGE PROCESSING			English	Article						Semantic matching; attention mechanisms; long short-term memory networks; tree-LSTM		In the context of deep learning models for semantic matching problems, we propose a novel Multi-View Progressive Attention (MV-PA) mechanism general enough to operate on various linguistic structures of text. More importantly, we study the interaction effect between explicit linguistic structures (e.g., linear, constituency, and dependency) and implicit structures elicited by attention mechanisms. Empirical results on multiple datasets demonstrate salient patterns of substitutability between the two families of structures (explicit and implicit). Our findings not only provide intellectual foundations for the popular use of "linear LSTM + attention" architectures in NLP/QA research, but also have implications in other modalities and domains.	[Gupta, Amulya; Zhang, Zhu] Iowa State Univ, Ames, IA 50011 USA	Zhang, Z (corresponding author), Iowa State Univ, Ames, IA 50011 USA.	guptaam@istate.edu; zhuzhang@iastate.edu						50	1	1	1	1	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	PISCATAWAY	445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA	2329-9290	2329-9304		IEEE-ACM T AUDIO SPE	IEEE-ACM Trans. Audio Speech Lang.		2020	28						2295	2307		10.1109/TASLP.2020.3013703			13	Acoustics; Engineering, Electrical & Electronic	Acoustics; Engineering	NE2EN	WOS:000562410300002					2021-09-15	
C	Liu, MD; Tang, ZY; Monshat, H; Zhao, YX; Lu, M			IEEE	Liu, Mingdian; Tang, Zheyan; Monshat, Hosein; Zhao, Yuxin; Lu, Meng			Portable instrument for paper-based isothermal nucleic acid amplification tests	2020 CONFERENCE ON LASERS AND ELECTRO-OPTICS (CLEO)	Conference on Lasers and Electro-Optics		English	Proceedings Paper	Conference on Lasers and Electro-Optics (CLEO)	MAY 10-15, 2020	San Jose, CA	IEEE				This paper demonstrates a paper-based nucleic acid amplification test with a portable instrument. The paper-based sensor provides the functions of reagent storage, sample transportation, and DNA amplification. The compact and low-cost fluorescence detector can quantify the amplicons in real-time. The results show that the sensor can detect multiple target genes with the concentration as low as 2 x 10(4) copies/ mu L. (C) 2020 The Author(s)	[Liu, Mingdian; Tang, Zheyan; Lu, Meng] Iowa State Univ, Dept Elect & Comp Engn, Ames, IA 50011 USA; [Monshat, Hosein; Lu, Meng] Iowa State Univ, Dept Mech Engn, Ames, IA 50011 USA; [Zhao, Yuxin] Iowa State Univ, Dept Chem & Biomol Engn, Ames, IA 50011 USA	Lu, M (corresponding author), Iowa State Univ, Dept Elect & Comp Engn, Ames, IA 50011 USA.; Lu, M (corresponding author), Iowa State Univ, Dept Mech Engn, Ames, IA 50011 USA.	menglu@iastate.edu						5	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	2160-9020		978-1-943580-76-7	CONF LASER ELECTR			2020													2	Engineering, Electrical & Electronic; Optics; Physics, Applied	Engineering; Optics; Physics	BQ6JA	WOS:000612090003061					2021-09-15	
J	Nguyen, TT; Venditti, V				Nguyen, Trang T.; Venditti, Vincenzo			An allosteric pocket for inhibition of bacterial Enzyme I identified by NMR-based fragment screening	JOURNAL OF STRUCTURAL BIOLOGY-X			English	Article						Mixed inhibition; Competitive inhibition; Antimicrobial compounds; Principal component analysis; Bacterial phosphotransferase system; TIM barrel enzyme	N-TERMINAL DOMAIN; ESCHERICHIA-COLI; MOLECULAR-DYNAMICS; VIRULENCE GENES; PROTEIN; PHOSPHOENOLPYRUVATE; SYSTEM; PHOSPHORYLATION; PARAMETERIZATION; EQUILIBRIUM	Enzyme I (EI), which is the key enzyme to activate the bacterial phosphotransferase system, plays an important role in the regulation of several metabolic pathways and controls the biology of bacterial cells at multiple levels. The conservation and ubiquity of EI among different types of bacteria makes the enzyme a potential target for antimicrobial research. Here, we use NMR-based fragment screening to identify novel inhibitors of EI. We identify three molecular fragments that allosterically inhibit the phosphoryl transfer reaction catalyzed by EI by interacting with the enzyme at a surface pocket located more than 10 angstrom away from the substrate binding site. Interestingly, although the three molecules share the same binding pocket, we observe that two of the discovered EI ligands act as competitive inhibitors while the third ligand acts as a mixed inhibitor. Characterization of the EI-inhibitor complexes by NMR and Molecular Dynamics simulations reveals key interactions that perturb the fold of the active site and provides structural foundation for the different inhibitory activity of the identified molecular fragments. In particular, we show that contacts between the inhibitor and the side-chain of V292 are crucial to destabilize binding of the substrate to EI. In contrast, mixed inhibition is caused by additional contacts between the inhibitor and alpha-helix 2 that perturb the active site structure and turnover in an allosteric manner. We expect our results to provide the basis for the development of second generation allosteric inhibitors of increased potency and to suggest novel molecular strategies to combat drug-resistant infections.	[Nguyen, Trang T.; Venditti, Vincenzo] Iowa State Univ, Dept Chem, Hach Hall,2438 Pammel Dr, Ames, IA 50011 USA; [Venditti, Vincenzo] Iowa State Univ, Roy J Carver Dept Biochem Biophys & Mol Biol, Ames, IA 50011 USA	Venditti, V (corresponding author), Iowa State Univ, Dept Chem, Hach Hall,2438 Pammel Dr, Ames, IA 50011 USA.	venditti@iastate.edu			NIGMSUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of General Medical Sciences (NIGMS) [R35GM133488]; Roy J. Carver Charitable Trust	We thank Drs. Davit Potoyan and Julien Roche for critical reading of the manuscript. This work was supported by funds from NIGMS R35GM133488 (to V.V.) and from the Roy J. Carver Charitable Trust (to V.V.).		45	2	2	0	1	ELSEVIER	AMSTERDAM	RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS		2590-1524		J STRUCT BIOL-X	J. Struct. Biol.- X		2020	4								100034	10.1016/j.yjsbx.2020.100034			9	Biochemistry & Molecular Biology; Biophysics; Cell Biology	Biochemistry & Molecular Biology; Biophysics; Cell Biology	SN8AH	WOS:000658508300021	32743545	Green Published, gold			2021-09-15	
J	Bi, LN; Hu, GP				Bi, Luning; Hu, Guiping			Improving Image-Based Plant Disease Classification With Generative Adversarial Network Under Limited Training Set	FRONTIERS IN PLANT SCIENCE			English	Article						plant disease; classification; regularization; convolutional neural network; generative adversarial network		Traditionally, plant disease recognition has mainly been done visually by human. It is often biased, time-consuming, and laborious. Machine learning methods based on plant leave images have been proposed to improve the disease recognition process. Convolutional neural networks (CNNs) have been adopted and proven to be very effective. Despite the good classification accuracy achieved by CNNs, the issue of limited training data remains. In most cases, the training dataset is often small due to significant effort in data collection and annotation. In this case, CNN methods tend to have the overfitting problem. In this paper, Wasserstein generative adversarial network with gradient penalty (WGAN-GP) is combined with label smoothing regularization (LSR) to improve the prediction accuracy and address the overfitting problem under limited training data. Experiments show that the proposed WGAN-GP enhanced classification method can improve the overall classification accuracy of plant diseases by 24.4% as compared to 20.2% using classic data augmentation and 22% using synthetic samples without LSR.	[Bi, Luning; Hu, Guiping] Iowa State Univ, Dept Ind & Mfg Syst Engn, Ames, IA 50011 USA	Hu, GP (corresponding author), Iowa State Univ, Dept Ind & Mfg Syst Engn, Ames, IA 50011 USA.	gphu@iastate.edu	Bi, Luning/P-5716-2019	Bi, Luning/0000-0002-3227-911X	Plant Sciences Institute's Faculty Scholars program at Iowa State University	This work is partially supported by the Plant Sciences Institute's Faculty Scholars program at Iowa State University.		35	1	1	2	9	FRONTIERS MEDIA SA	LAUSANNE	AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND	1664-462X			FRONT PLANT SCI	Front. Plant Sci.	DEC 4	2020	11								583438	10.3389/fpls.2020.583438			12	Plant Sciences	Plant Sciences	PG2ND	WOS:000599576500001	33343595	Green Published, gold			2021-09-15	
J	Clark, KL; Roach, CM; Keating, AF				Clark, Kendra L.; Roach, Crystal M.; Keating, Aileen F.			Obesity alters the ovarian DNA damage response and apoptotic proteins	REPRODUCTION			English	Article							BODY-MASS INDEX; PHOSPHORAMIDE MUSTARD; PHOSPHATIDYLINOSITOL-3 KINASE; CARDIOVASCULAR-DISEASE; ATAXIA-TELANGIECTASIA; DIABETES-MELLITUS; MATERNAL OBESITY; OXIDATIVE STRESS; REPAIR RESPONSE; RISK-FACTOR	In the overweight or obese female, reproductive complications include poor oocyte quality, decreased fecundity, gestational diabetes, and higher risk of reproductive cancers. Using lean and hyperphagia-induced obese female mice aged 10 weeks, we determined that the ovary from obese female mice had elevated (P < 0.10) levels of ataxia telangiectasia mutated (ATM) protein in oocytes of both small and large follicles. Phosphorylated ATM at serine 1981 was greater (P < 0.05) in large relative to small follicles with no additional impact of obesity. Obesity increased (P < 0.05) gamma H2AX in small follicles in obese relative to lean ovaries, while large follicles of both lean and obese mice had detectable levels of gamma H2AX. Cleaved caspase 3 was reduced (P < 0.05) in the small follicles of obese relative to lean ovaries. In large follicles of lean mice, cleaved caspase 3 was increased in large compared to small follicles (P < 0.05) but this pattern was absent in obese mice. Breast cancer type 1 susceptibility protein (BRCA1) or the phosphorylated BRCA1 proteins were observably altered by obesity. These data demonstrate that markers of DNA damage and repair have a follicle-dependent stage location and that obesity alters ATM and cleaved caspase 3 in a follicular stage dependent manner.	[Clark, Kendra L.; Roach, Crystal M.; Keating, Aileen F.] Iowa State Univ, Dept Anim Sci, Ames, IA 50011 USA	Keating, AF (corresponding author), Iowa State Univ, Dept Anim Sci, Ames, IA 50011 USA.	akeating@iastate.edu		Clark, Kendra/0000-0001-8843-7917	Bailey Career Development Award from Iowa State University	This work was funded by the Bailey Career Development Award from Iowa State University (A F K).		85	0	0	0	7	BIOSCIENTIFICA LTD	BRISTOL	STARLING HOUSE, 1600 BRISTOL PARKWAY N, BRISTOL, ENGLAND	1470-1626			REPRODUCTION	Reproduction	NOV	2020	160	5					751	760		10.1530/REP-20-0070			10	Developmental Biology; Reproductive Biology	Developmental Biology; Reproductive Biology	NU9PX	WOS:000573968800012	33021950				2021-09-15	
J	Emilien, CH; Hsu, WH; Hollis, JH				Emilien, Christine H.; Hsu, Walter H.; Hollis, James H.			The Effect of Soluble Fiber Dextrin on Subjective and Physiological Markers of Appetite: A Randomized Trial	NUTRIENTS			English	Article						appetite; fiber; satiety; breath hydrogen; resistant starch	GLUCAGON-LIKE PEPTIDE-1; RESISTANT STARCH; ENERGY-INTAKE; FOOD-INTAKE; DIETARY FIBER; POSTPRANDIAL APPETITE; GUT HORMONES; SATIETY; OBESITY; FERMENTATION	Obesity is a leading public health problem throughout the world. The development of foods that increase satiety and reduce food may aid weight management. This study determined the effect of consuming soluble fiber dextrin (SFD) on appetite, appetitive hormones, breath hydrogen and food intake in adults. Forty-three participants completed this study. For each treatment, 50% of the SFD was provided in liquid form as part of breakfast and 50% in solid form as a morning snack. Appetite questionnaires, blood and breath samples were collected immediately before breakfast and at regular intervals during the test session. The participants consumed an ad libitum lunch meal, afternoon snack and dinner meal, and the amount eaten was recorded. Following dinner, participants left the laboratory but were required to keep a diet diary for the remainder of the day. Breath hydrogen concentration was significantly higher following the consumption of SFD compared to control (p < 0.05). There was no observed overall treatment effect of consuming SFD on GLP-1 (Glucagon-Like-Peptide-1), ghrelin, CCK-8 (Cholecystokinin) or PYY3-36 (Petptide YY) (p > 0.05). Moreover, consuming foods containing SFD had no effect on subjective appetite or food intake (p > 0.05). Consuming foods containing SFD increased breath hydrogen but did not influence food intake, appetite or appetitive hormones. However, the limitations of this study may have individually or collectively masked an effect of SFD on food intake and appetite.	[Emilien, Christine H.; Hollis, James H.] Iowa State Univ, Dept Food Sci & Human Nutr, Ames, IA 50011 USA; [Hsu, Walter H.] Iowa State Univ, Dept Biomed Sci, Ames, IA 50011 USA	Hollis, JH (corresponding author), Iowa State Univ, Dept Food Sci & Human Nutr, Ames, IA 50011 USA.	Christine.Emilien@gmail.com; whsu@iastate.edu; jhollis@iastate.edu			Tate & Lyle Ingredients Americas LLC	This study was funded by Tate & Lyle Ingredients Americas LLC. The Research and all publications arising out of or referable to it are considered proprietary data to which Tate & Lyle claims exclusive right of reference in accordance with Regulation (EC) no 1924/2006 of the European Parliament and of the Council on Nutrition and Health Claims Made on Foods.		41	0	0	3	3	MDPI	BASEL	ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND		2072-6643		NUTRIENTS	Nutrients	NOV	2020	12	11							3341	10.3390/nu12113341			11	Nutrition & Dietetics	Nutrition & Dietetics	OX9BI	WOS:000593850800001	33143121	Green Published, gold			2021-09-15	
J	Rectanus, MW				Rectanus, Mark W.			The Humboldt Lab. Museum Experiments between post-colonial Revision and scenographic Change	GERMAN STUDIES REVIEW			English	Book Review									[Rectanus, Mark W.] Iowa State Univ, Ames, IA 50011 USA	Rectanus, MW (corresponding author), Iowa State Univ, Ames, IA 50011 USA.							1	0	0	0	0	JOHNS HOPKINS UNIV PRESS	BALTIMORE	JOURNALS PUBLISHING DIVISION, 2715 NORTH CHARLES ST, BALTIMORE, MD 21218-4363 USA	0149-7952	2164-8646		GER STUD REV	Ger. Stud. Rev.	OCT	2020	43	3					651	653					5	Area Studies; Humanities, Multidisciplinary	Area Studies; Arts & Humanities - Other Topics	OG6CV	WOS:000581970400030					2021-09-15	
J	Goyal, S; Forrester, MJ; Cochran, E				Goyal, Shailja; Forrester, Michael J.; Cochran, Eric			Thermoplastic Biopolymers from Glycerine Acetal and Ketal Building Blocks.	JOURNAL OF THE AMERICAN OIL CHEMISTS SOCIETY			English	Meeting Abstract									[Goyal, Shailja; Forrester, Michael J.; Cochran, Eric] Iowa State Univ, Ames, IA USA								0	0	0	0	0	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0003-021X	1558-9331		J AM OIL CHEM SOC	J. Am. Oil Chem. Soc.	SEP	2020	97			1	SI		27	27					1	Chemistry, Applied; Food Science & Technology	Chemistry; Food Science & Technology	NS9BZ	WOS:000572551400067					2021-09-15	
J	Powell, K; Haynes, C				Powell, Konrad; Haynes, Cynthia			Access to Fresh Produce: Challenges for Small Rural Food Pantries in Iowa	HORTSCIENCE			English	Meeting Abstract									[Powell, Konrad; Haynes, Cynthia] Iowa State Univ, Ames, IA USA					SNAP-Ed	SNAP-Ed		0	0	0	0	0	AMER SOC HORTICULTURAL SCIENCE	ALEXANDRIA	113 S WEST ST, STE 200, ALEXANDRIA, VA 22314-2851 USA	0018-5345	2327-9834		HORTSCIENCE	Hortscience	SEP	2020	55	9		S			S233	S233					1	Horticulture	Agriculture	QO6LU	WOS:000623253400473					2021-09-15	
J	Campbell, C; Olsen, MG; Vigil, RD				Campbell, Charlton; Olsen, Michael G.; Vigil, R. Dennis			Droplet size distributions in liquid-liquid semi-batch Taylor vortex flow	AIP ADVANCES			English	Article							EMULSIONS	Optical methods were used to measure droplet size distributions in a liquid-liquid Taylor vortex reactor oriented vertically along its main axis and operated in a semi-batch fashion with continuous feed of the dispersed phase and no feed or removal of the continuous liquid. The effects of two operational parameters on droplet size distributions were considered, including the inner cylinder angular velocity and the dispersed phase inlet flow rate. Both the mean droplet diameter and the droplet size distribution were found to depend upon the jet Reynolds number and were independent of cylinder rotation speed up to the largest azimuthal Reynolds number investigated (60 000). The droplet size distribution underwent a transition from a unimodal distribution at low cylinder rotation speeds to a bimodal distribution at intermediate speeds. At the largest rotation speeds considered, the bimodal distribution became right-skewed. These observations provide support for the hypothesis that the mean droplet size and size distribution are determined primarily by jet breakage dynamics at the tips of inlet nozzles. Furthermore, the mean droplet size data collected from two geometrically distinct reactors can be collapsed onto a universal curve by plotting the Weber number against the jet Reynolds number.	[Campbell, Charlton; Olsen, Michael G.] Iowa State Univ, Dept Mech Engn, Ames, IA 50011 USA; [Vigil, R. Dennis] Iowa State Univ, Dept Chem & Biol Engn, Ames, IA 50011 USA	Vigil, RD (corresponding author), Iowa State Univ, Dept Chem & Biol Engn, Ames, IA 50011 USA.	vigil@iastate.edu		Olsen, Michael/0000-0002-2125-0952; Campbell, Charlton/0000-0003-2121-2742; Vigil, R. Dennis/0000-0001-5721-7671	National Science FoundationNational Science Foundation (NSF) [CBET-1236676]	The authors thank Dr. Mahdi Ramezani, Dr. Bo Kong, and Arya Haghighat for helpful discussions. We are also grateful to Shridharshna Mailachalam for laboratory assistance. Financial support was provided for this work by the National Science Foundation (Grant No. CBET-1236676).		21	0	0	0	2	AMER INST PHYSICS	MELVILLE	1305 WALT WHITMAN RD, STE 300, MELVILLE, NY 11747-4501 USA		2158-3226		AIP ADV	AIP Adv.	AUG 1	2020	10	8							085316	10.1063/5.0018065			7	Nanoscience & Nanotechnology; Materials Science, Multidisciplinary; Physics, Applied	Science & Technology - Other Topics; Materials Science; Physics	NE7YZ	WOS:000562821500002		gold			2021-09-15	
J	Kim, J; Barlow, S; Franke, W; Lang, J				Kim, Jahyun; Barlow, Sydney; Franke, Warren; Lang, James			Endothelial-dependent Cutaneous Vasodilatory Responses To Single Bout Of Remote Ischemic Preconditioning	MEDICINE AND SCIENCE IN SPORTS AND EXERCISE			English	Meeting Abstract	American-College-of-Sports-Medicine (ACSM) Virtual Conference	2020	ELECTR NETWORK	Amer Coll Sports Med					[Kim, Jahyun; Barlow, Sydney; Franke, Warren; Lang, James] Iowa State Univ, Ames, IA USA		jaykim@iastate.edu						0	0	0	1	1	LIPPINCOTT WILLIAMS & WILKINS	PHILADELPHIA	TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, PA 19103 USA	0195-9131	1530-0315		MED SCI SPORT EXER	Med. Sci. Sports Exerc.	JUL	2020	52	17		S		3258	889	889					1	Sport Sciences	Sport Sciences	OS2VX	WOS:000590026304028					2021-09-15	
