PU,PU_cleaned
INT ASSOC ENERGY ECONOMICS,Other
INT ASSOC FOOD PROTECTION,Other
INT ASSOC PLANT TAXONOMY-IAPT,Other
INT CENTER NUMERICAL METHODS ENGINEERING,Other
"INT CENTRE ECOLOGY, POLISH ACAD SCIENCES",Other
INT COUNCIL MATERIALS EDUCATION,Other
INT COUNCIL TRADITIONAL MUSIC,Other
INT CTR MENTAL HEALTH POLICY & ECONOMICS-ICMPE,Other
INT FOOD & AGRIBUSINESS MANAGEMENT REVIEW,Other
INT INST ANTICANCER RESEARCH,Other
INT JOURNAL COMPUTER SCIENCE & NETWORK SECURITY-IJCSNS,Other
INT JOURNAL RENEWABLE ENERGY RESEARCH,Other
INT LINEAR ALGEBRA SOC,Other
INT MEDICAL PRESS LTD,Other
INT PHYCOLOGICAL SOC,Other
INT RESEARCH & TRAINING CENTER EROSION & SEDIMENTATION,Other
"INT SCIENTIFIC LITERATURE, INC",Other
INT SOC BAYESIAN ANALYSIS,Other
INT SOC HORTICULTURAL SCIENCE,Other
INT SOC HYPERTENSION BLACKS-ISHIB,Other
INT STATISTICAL INST,Other
INT UNION AGAINST TUBERCULOSIS LUNG DISEASE (I U A T L D),Other
INTECH EUROPE,Other
INTELLECT LTD,Other
INTERACTION DESIGN & ARCHITECTURES,Other
INTERCIENCIA,Other
IS&T & SPIE,Other
ISAM,Other
ISCI-INST SCIENTIFIC COMPUTING & INFORMATION,Other
ISFAHAN UNIV TECHNOLOGY,Other
ISRAEL MEDICAL ASSOC JOURNAL,Other
ISRAEL VETERINARY MEDICAL  ASSOC,Other
IST NAZIONALE DI GEOFISICA E VULCANOLOGIA,Other
IST NAZIONALE DI OCEANOGRAFIA E DI GEOFISICA,Other
IST ZOOPROFILATTICO SPERIMENTALE ABRUZZO & MOLISE G CAPORALE-IZS A&M,Other
ISTA-INT SEED TESTING ASSOC,Other
IVYSPRING INT PUBL,Other
IWA PUBLISHING,Other
J A S S S,Other
J C B MOHR,Other
J C P D S-INT CENTRE DIFFRACTION DATA,Other
J O S P T,Other
J RHEUMATOL PUBL CO,Other
JAGIELLONIAN UNIV PRESS,Other
"JANNETTI PUBLICATIONS, INC",Other
JAPAN ACAD,Other
JAPAN ANTIBIOTICS RESEARCH ASSOC,Other
JAPAN INST METALS,Other
JAPAN POULTRY SCIENCE ASSOC,Other
JAPAN SOC MICROGRAVITY APPLICATION,Other
JAPAN SOC OCCUPATIONAL HEALTH,Other
JAPAN SOC VET SCI,Other
JAPANESE CIRCULATION SOC,Other
JAPANESE GEOTECHNICAL SOC,Other
JAPANESE SOC TOXICOLOGICAL SCIENCES,Other
JOHN BENJAMINS PUBLISHING CO,Other
JOHN LIBBEY EUROTEXT LTD,Other
JOURNAL BONE JOINT SURGERY,Other
JOURNAL EXPERIMENTAL BIOLOGY & AGRICULTURAL SCIENCES,Other
JOURNAL HUMAN-ROBOT INTERACTION,Other
JOURNAL MATER SCI TECHNOL,Other
JOURNAL MATHEMATICS & COMPUTER SCIENCE-JMCS,Other
JOURNAL OF DRUGS IN DERMATOLOGY,Other
JOURNAL REHAB RES & DEV,Other
JOURNAL RHEOLOGY AMER INST PHYSICS,Other
JOURNAL SPORTS SCIENCE & MEDICINE,Other
JOURNAL STATISTICAL SOFTWARE,Other
JOURNAL TECHNOLOGY & CHINESE LANGUAGE TEACHING,Other
JOURNAL WUHAN UNIV TECHNOLOGY,Other
JULIUS KUHN-INST,Other
JULIUSZ SCHAUDER CTR NONLINEAR STUDIES,Other
KANSAS ENTOMOLOGICAL SOC,Other
KAUNAS UNIV TECH,Other
KLINCKSIECK,Other
KOREA CONCRETE INST,Other
KOREAN ACAD PERIODONTOLOGY,Other
"KOREAN ASSOC CRYSTAL GROWTH, INC",Other
KOREAN ASTRONOMICAL SOCIETY,Other
KOREAN CHEMICAL SOC,Other
KOREAN CONTINENCE SOC,Other
KOREAN FIBER SOC,Other
KOREAN INST COMMUNICATIONS SCIENCES (K I C S),Other
KOREAN INST METALS MATERIALS,Other
KOREAN INST POWER ELECTRONICS,Other
KOREAN INSTITUTE CHEMICAL  ENGINEERS,Other
KOREAN MAGNETICS SOC,Other
KOREAN MATHEMATICAL SOC,Other
KOREAN METEOROLOGICAL SOC,Other
KOREAN NEUROLOGICAL ASSOC,Other
KOREAN NUCLEAR SOC,Other
KOREAN NUTRITION SOC,Other
KOREAN PHYSICAL SOC,Other
KOREAN RADIOLOGICAL SOC,Other
KOREAN SOC APPLIED ENTOMOLOGY,Other
KOREAN SOC APPLIED PHARMACOLOGY,Other
KOREAN SOC BIOTECHNOLOGY & BIOENGINEERING,Other
KOREAN SOC FOOD SCIENCE ANIMAL RESOURCES,Other
KOREAN SOC HORTICULTURAL SCIENCE,Other
KOREAN SOC MECHANICAL ENGINEERS,Other
KOREAN SOC MICROBIOLOGY & BIOTECHNOLOGY,Other
KOREAN SOC MOLECULAR & CELLULAR  BIOLOGY,Other
KOREAN SOC NEUROGASTROENTEROLOGY & MOTILITY,Other
KOREAN SOC OTORHINOLARYNGOL,Other
KOREAN SOC PLANT PATHOLOGY,Other
KOREAN SOC PRECISION ENG,Other
KOREAN SOC STEEL CONSTRUCTION-KSSC,Other
KOREAN SOC VETERINARY SCIENCE,Other
KOREAN SOCIETY BIOCHEMISTRY & MOLECULAR BIOLOGY,Other
KOREAN SOCIETY FOOD SCIENCE & TECHNOLOGY-KOSFOST,Other
KOREAN SOCIETY OF CIVIL ENGINEERS-KSCE,Other
KOREAN STATISTICAL SOC,Other
KOSSUTH LAJOS TUDOMANYEGYETEM,Other
KRUZAK D O O,Other
KSII-KOR SOC INTERNET INFORMATION,Other
KYBERNETIKA,Other
"KYUNGPOOK NATL UNIV, DEPT MATHEMATICS",Other
LABX MEDIA GROUP,Other
LATIN AMER J SOLIDS STRUCTURES,Other
LATIN AMER STUDIES ASSOC,Other
LEARN,Other
LEPIDOPTERISTS SOC,Other
LIBERTAS ACAD,Other
LINGUISTIC SOC AMER,Other
LIVERPOOL UNIV PRESS,Other
LOCKE SCIENCE PUBL CO INC,Other
LONDON MATH SOC,Other
LOUISIANA STATE UNIV PRESS,Other
LYMPHOLOGY,Other
LYNNE RIENNER PUBL INC,Other
M E SHARPE INC,Other
MA HEALTHCARE LTD,Other
"MAKERERE UNIV, FAC MED",Other
MANAGED CARE & HEALTHCARE COMMUNICATIONS LLC,Other
MANCHESTER UNIV PRESS,Other
MARG FOUNDATION,Other
MARINE TECHNOLOGY SOC INC,Other
MATH SOC JAPAN,Other
MATHEMATICAL ASSOC AMER,Other
MATHEMATICAL SCIENCE PUBL,Other
MATICA SRPSKA,Other
MAX PLANCK INST DEMOGRAPHIC RESEARCH,Other
MAYDICA-IST SPER CEREALICOLTUR,Other
MED COLL MALAWI,Other
MEDICAL LIBRARY ASSOC,Other
MEDICINA (BUENOS AIRES),Other
MEDIMOND S R L,Other
"MEDREVIEWS, LLC",Other
METEOROLOGICAL SOC JAPAN,Other
MEXICAN ASSOC HEPATOLOGY,Other
MEZHDUNARODNAYA KNIGA,Other
MICH LAW REV ASSOC,Other
MICHIGAN MATHEMATICAL JOURNAL,Other
MICHIGAN STATE UNIV PRESS,Other
MICROBIOLOGICAL  SOCIETY KOREA,Other
MICROBIOLOGY SOC,Other
MICROTOME PUBL,Other
MIDDLE EAST INST,Other
MIDWEST MODERN LANGUAGE ASSOC,Other
MILLENNIUM FILM WORKSHOP INC,Other
MINERALOGICAL ASSOC CANADA,Other
MINERALOGICAL SOC,Other
MINERALOGICAL SOC AMER,Other
MINERALOGICAL SOC AMER & GEOCHEMICAL SOC,Other
MINN LAW REVIEW FOUND,Other
MISSOURI BOTANICAL GARDEN,Other
MODERN HUMANITIES RESEARCH ASSOCIATION,Other
MODERN LANGUAGE ASSOC AMER,Other
MOLECULAR VISION,Other
MORGAN KAUFMANN PUB INC,Other
MULTILINGUAL MATTERS LTD,Other
MULTIMED INC,Other
MUSEUM & INST ZOOLOGY PAS-POLISH ACAD SCIENCES,Other
MUSEUM NATL HISTOIRE NATURELLE,Other
MUSICAL TIMES PUBLICATIONS LTD,Other
MYCOTAXON LTD,Other
NANZAN INST RELIGION CULTURE,Other
NATCO-ORGANIZATION TRANSPLANT PROFESSIONALS,Other
NATION CO INC,Other
"NATL ACAD SCI UKRAINE, INST MATH",Other
NATL ACADEMIES PRESS,Other
NATL ASSOC BIOLOGY TEACHERS INC,Other
NATL ASSOC CORROSION ENG,Other
NATL ASSOC SCHOOL PSYCHOLOGISTS,Other
NATL ASSOC STUDENT FINANCIAL AID ADMIN,Other
"NATL ASTRONOMICAL OBSERVATORIES, CHIN ACAD SCIENCES",Other
NATL COUNCIL TEACHERS ENGLISH,Other
"NATL ILAN UNIV, JIT",Other
NATL INQUIRY SERVICES CENTRE PTY LTD,Other
NATL INST ALCOHOL ABUSE  ALCOHOLISM,Other
NATL INST PUBLIC HEALTH,Other
NATL MARINE FISHERIES SERVICE SCIENTIFIC PUBL OFFICE,Other
NATL RECREATION PARK ASSOC,Other
NATL SCIENCE FOUNDATION SRI LANKA,Other
NATL SHELLFISHERIES ASSOC,Other
NATL TAIWAN NORMAL UNIV,Other
NATL TAX ASSOC,Other
NATURAL AREAS ASSOC,Other
NATURAL PRODUCTS INC,Other
NECMETTIN ERBAKAN UNIV,Other
"NEOTROPICAL ORNITHOLOGICAL SOC, USGS PATUXENT WILDLIFE RESEARCH CTR",Other
"NEW LEAF ASSOC, INC",Other
NEW LEFT REV LTD,Other
NEW YORK REVIEW,Other
NEW YORK UNIV SCHOOL LAW,Other
"NEW ZEALAND SOC EARTHQUAKE ENGINEERING, INC",Other
"NOFER INST OCCUPATIONAL MEDICINE, SW",Other
NONFERROUS METALS SOC CHINA,Other
NORTH CAROLINA STATE UNIV DEPT WOOD & PAPER SCI,Other
NORTH TEXAS STAT UNIV,Other
NORTHWEST INST NONFERROUS METAL RESEARCH,Other
NORTHWEST SCIENTIFIC ASSOC,Other
NORTHWESTERN UNIV,Other
NORTHWESTERN UNIV PRESS,Other
NOTRE DAME LAW SCHOOL,Other
NOVOE LITERATURNOE OBOZRENIE-NEW LITERARY OBSERVER,Other
NOW PUBLISHERS INC,Other
OCEAN SIDE PUBLICATIONS INC,Other
OCEANOGRAPHY SOC,Other
OCHSNER CLINIC,Other
"OESTERREICHISCHE GESELL ENTOMOFAUNISTIK, C/O NATURHISTOR MUSEUM WIEN",Other
OFFICE SPECTROSCOPY & SPECTRAL ANALYSIS,Other
OHIO STATE UNIV PRESS,Other
"OHIO STATE UNIV, SCH MUSIC",Other
OHIO STATE UNIVERSITY DEPT ANIMAL SCIENCE,Other
OLD CITY PUBLISHING INC,Other
ONCOLOGY NURSING SOC,Other
ONLINE LEARNING CONSORTIUM,Other
OPEN HOUSE INT,Other
OPTICAL SOC KOREA,Other
OREGON HISTORICAL SOC,Other
ORGANIZATION AMER HISTORIANS,Other
ORGANIZATION TROP AMER NEMATOLOGISTS,Other
"ORNITHOLOGICAL SOC JAPAN, UNIV TOKYO, SCH AGR",Other
PACIFIC COAST ENTOMOL SOC,Other
PACIFIC JOURNAL MATHEMATICS,Other
PACINI EDITORE,Other
PAGEPRESS PUBL,Other
PAKISTAN AGRICULTURAL SCIENTISTS FORUM,Other
PALGRAVE,Springer-Nature
PALGRAVE MACMILLAN LTD,Springer-Nature
PAN AMER HEALTH ORGANIZATION,Other
PAN STANFORD PUBLISHING PTE LTD,Other
PARLAR SCIENTIFIC PUBLICATIONS (P S P),Other
PENERBIT UTM PRESS,Other
PENN STATE UNIV PRESS,Other
PERIODICUM BIOLOGORUM,Other
PERMANYER PUBL,Other
PHARMACEUTICAL SOC JAPAN,Other
PHILOSOPHY DOCUMENTATION CENTER,Other
PHYSICAL SOC JAPAN,Other
PHYSICA-VERLAG GMBH & CO,Other
PHYSICIANS POSTGRADUATE PRESS,Other
PION LTD,Other
PIONEER BIOSCIENCE PUBL CO,Other
PLOUGHSHARES INC,Other
PNG PUBLICATIONS,Other
POLICY PRESS,Other
POLISH ACAD SCIENCES INST MATHEMATICS-IMPAN,Other
POLISH ACAD SCIENCES INST PHARMACOLOGY,Other
POLISH ACAD SCIENCES INST PHYSICS,Other
POLISH MAINTENANCE SOC,Other
POLISH PHYSIOLOGICAL SOC,Other
POLISH SOC THEORETICAL & APPLIED MECHANICS,Other
"POLSKA AKAD NAUK, INST GENETYKI I HODOWLI ZWIERZAT",Other
"POLSKA AKAD NAUK, POLISH ACAD SCIENCES, INST METALL & MATER SCI PAS",Other
POLSKIE TOWARZYSTWO BOTANICZNE,Other
POLSKIE TOWARZYSTWO FARMACEUTYCZNE,Other
PONTIFICA UNIV CATOLICA DE CHILE FACULTAD DE DERECHO,Other
"PONTIFICA UNIV JAVERIANA, FAC PSYCH",Other
"PONTIFICIA UNIV CATOLICA CHILE, INST CIENCIA POLITICA",Other
PRECAST/PRESTRESSED CONCRETE INST,Other
PRINCETON UNIV,Other
"PROUS SCIENCE, SAU-THOMSON REUTERS",Other
"PUBLICATIONS SCIENTIFIQUES DU MUSEUM, PARIS",Other
PULSUS GROUP INC,Other
QUADRANT HEALTHCOM INC,Other
QUINTESSENCE PUBLISHING CO INC,Other
R FOUNDATION STATISTICAL COMPUTING,Other
R I L E M PUBLICATIONS,Other
RADIATION RESEARCH SOC,Other
RAMANUJAN MATHEMATICAL SOC,Other
RAPTOR RESEARCH FOUNDATION INC,Other
REED BUSINESS INFORMATION LTD,Other
REGIONAL EURO-ASIAN BIOLOGICAL INVASIONS CENTRE-REABIC,Other
RESILIENCE ALLIANCE,Other
REVISTA BIOTA NEOTROPICA,Other
REVISTA BRASILEIRA ZOOTECNIA BRAZILIAN JOURNAL ANIMAL SCI,Other
REVUE BELGE PHILOLOGIE HISTOIRE,Other
RIJKSHERBARIUM,Other
"RINTON PRESS, INC",Other
RIVER PUBLISHERS,Other
RIYADH ARMED FORCES HOSPITAL,Other
ROCKY MT MATH CONSORTIUM,Other
ROMANIAN ACAD SOC,Other
ROMANIAN SOC CONTROL TECH INFORMATICS,Other
ROMANIAN SOC PHENOMENOLOGY,Other
ROSENSTIEL SCH MAR ATMOS SCI,Other
ROWMAN & LITTLEFIELD PUBL GRP INC,Other
"ROYAL BELGIAN SOC EAR, NOSE, THROAT, HEAD & NECK SURGERY",Other
ROYAL COLLEGE OF PSYCHIATRISTS,Other
S FISCHER VERLAG GMBH,Other
S HIRZEL VERLAG,Other
SAN DIEGO STATE UNIV,Other
SCANDINAVIAN FEDERATION LABORATORY ANIMAL SCIENCE,Other
SCANDINAVIAN JOURNAL WORK ENVIRONMENT & HEALTH,Other
SCHATTAUER GMBH-VERLAG MEDIZIN NATURWISSENSCHAFTEN,Other
SCI PRINTERS & PUBL INC,Other
SCIBULCOM LTD,Other
SCIENCE REVIEWS 2000 LTD,Other
SCIENCE-FICTION STUDIES,Other
SCITEPRESS,Other
SCRIPPS INST OCEANOGRAPHY,Other
SCRIVENER PUBLISHING,Other
SCRIVENER PUBLISHING LLC,Other
SCUOLA NORMALE SUPERIORE,Other
SENSE PUBLISHERS,Other
SEPM-SOC SEDIMENTARY GEOLOGY,Other
SERBIAN GENETICS SOC,Other
SERVICIO PUBL UNIV NAVARRA,Other
SHANGHAI UNIV SPORT,Other
SHERIDAN PRESS,Other
SIGMA XI-SCI RES SOC,Other
SINGAPORE MEDICAL ASSOC,Other
SISEF-SOC ITALIANA SELVICOLTURA ECOL FORESTALE,Other
SIXTEENTH CENTURY JOURNAL PUBL,Other
SLAVICA PUBLISHERS,Other
"SLOAN MANAGEMENT REVIEW ASSOC, MIT SLOAN SCHOOL MANAGEMENT",Other
SLOVENSKO DRUSTVO INFORMATIKA,Other
SOC ADVANCEMENT SCAND STUD,Other
SOC AMER ARCHAEOLOGY,Other
SOC AMER FORESTERS,Other
SOC APPLIED ANTHROPOLOGY,Other
SOC ARCHITECTURAL HISTORIANS,Other
SOC ASIAN MUSIC DEPT ASIAN STUDIES,Other
SOC BIBLICAL LITERATURE,Other
SOC BIOSCIENCE BIOENGINEERING JAPAN,Other
SOC BOTANICA SAO PAULO,Other
SOC BRASIL GENETICA,Other
SOC BRASILEIRA MEDICINA TROPICAL,Other
SOC BRASILEIRA QUIMICA,Other
SOC CULTURAL ANTHROPOLOGY,Other
"SOC ECONOMIC GEOLOGISTS, INC",Other
SOC ESPANOLA NEFROLOGIA DR RAFAEL MATESANZ,Other
SOC ETHNOBIOLOGY,Other
SOC ETHNOMUSICOLOGY INC,Other
SOC ETUD 17 SIECLE,Other
SOC ETUD LATINES BRUXELLES,Other
SOC EXPLORATION GEOPHYSICISTS,Other
SOC GENERAL MICROBIOLOGY,Other
SOC GEOLOGY APPLIED MINERAL DEPOSITS-SGA,Other
SOC INFORM MANAGE-MIS RES CENT,Other
SOC JUDGMENT & DECISION MAKING,Other
SOC MANUFACTURING ENGINEERS,Other
SOC MATHEMATIQUE FRANCE,Other
SOC MEDICA SANTIAGO,Other
SOC MILITARY HISTORY,Other
SOC NEMATOLOGISTS,Other
SOC NUCLEAR MEDICINE INC,Other
SOC PETROLEUM ENG,Other
SOC PETROPHYSICISTS & WELL LOG ANALYSTS-SPWLA,Other
SOC RANGE MANAGEMENT,Other
SOC ROMANA ULTRASONOGRAFE MEDICINA BIOLOGIE-SRUMB,Other
SOC SOCIOLOGICAL SCIENCE,Other
SOC STUDY AMPHIBIANS REPTILES,Other
SOC STUDY MEDIEVAL LANGUAGE LITERATURE,Other
SOC STUDY REPRODUCTION,Other
SOC TEACHERS FAMILY MEDICINE,Other
SOC TECHNICAL COMMUNICATION,Other
SOC VACUUM COATERS,Other
SOC VECTOR ECOLOGY,Other
SOCIETY REPRODUCTION & DEVELOPMENT-SRD,Other
SOUTH AFRICAN JOURNAL OF ANIMAL SCIENCES,Other
SOUTHEAST ASIAN MINISTERS EDUC ORGANIZATION,Other
SOUTHEAST ASIAN REGIONAL CENTER GRADUATE STUDY & RESEARCH AGRICULTURE,Other
SOUTHERN AFRICAN WILDLIFE MANAGEMENT ASSOC,Other
"SOUTHERN APPALACHIAN BOTANICAL SOC, NEWBERRY COLL",Other
SOUTHERN HISTORICAL ASSOC,Other
SOUTHWESTERN ASSOC NATURALISTS,Other
SOUTHWESTERN LAW SCH,Other
SPACE MAGAZINE,Other
SPANDIDOS PUBL LTD,Other
STATA PRESS,Other
STATE GRID ELECTRIC POWER RESEARCH INST,Other
STATISTICA SINICA,Other
STATISTICS CANADA,Other
SUN YAT SEN UNIV MED SCI WHO,Other
SWISS CHEMICAL SOC,Other
TAIWAN ASSOC AEROSOL RES-TAAR,Other
TARTU UNIV PRESS,Other
TARU PUBLICATIONS,Other
TEACHERS COLL OF COLUMBIA UNIV,Other
TEAGASC,Other
TECH SCIENCE PRESS,Other
"TECHNICAL ASSOC PHOTOPOLYMERS,JAPAN",Other
TECHNO-PRESS,Other
"TEL AVIV UNIV, FAC HUMANITIES, FRENCH DEPT ADARR RESEARCH GROUP",Other
"TEMPLE UNIV, DEPT SPANISH & PORTUGUESE",Other
TEMPUS PUBLICATIONS,Other
TERMEDIA PUBLISHING HOUSE LTD,Other
TEXAS HEART INST,Other
TEXAS LAW REVIEW PUBL INC,Other
TEXAS STATE HIST ASSOC,Other
TEXAS STATE UNIV,Other
TEXTILE BIOENGINEERING & INFORMATICS SOCIETY LTD,Other
TEXTRUM,Other
THETA FOUNDATION,Other
THOMIST PRESS,Other
TIMES SUPPLEMENTS LIMITED,Other
TOKYO JOURNAL MATHEMATICS EDITORIAL OFFICE ACAD CENTER,Other
TRANS TECH PUBLICATIONS LTD,Other
TRANSACTION PUBLISHERS,Other
TROPICAL CONSERVATION SCIENCE,Other
TSINGHUA UNIV PRESS,Other
TUBITAK SCIENTIFIC & TECHNICAL RESEARCH COUNCIL TURKEY,Other
TURKISH NATL COMMITTEE AIR POLLUTION RES & CONTROL-TUNCAP,Other
TURKISH SOC RADIOLOGY,Other
TUSI MATHEMATICAL RESEARCH GROUP,Other
"U C L A, AMER INDIAN STUDIES CENTER",Other
U S FISH & WILDLIFE SERVICE,Other
UBIQUITY PRESS LTD,Other
UBM MEDICA,Other
ULUSLARARASI ILISKILER KONSEYI DERNEGI,Other
UNDERSEA & HYPERBARIC MEDICAL SOC INC,Other
UNITED ARAB EMIRATES UNIV,Other
"UNIV AGEAN, DEPT MEDITERRANEAN STUD",Other
UNIV AGR SCI & VETERINARY MED CLUJ-NAPOCA,Other
UNIV AGRICULTURAL SCIENCES & VETERINARY MEDICINE BUCHAREST,Other
"UNIV AGRICULTURE, FAC VETERINARY SCIENCE",Other
UNIV ALBERTA,Other
"UNIV ALICANTE, GRUPO INVESTIGACION EDUTIC-ADEI",Other
"UNIV ANTIOQUIA, FAC CIENCIAS AGRARIAS",Other
UNIV ARIZONA DEPT GEOSCIENCES,Other
UNIV AUTONOMA METROPOLITANA-IZTAPALAPA,Other
UNIV BASQUE COUNTRY UPV-EHU PRESS,Other
UNIV BATH,Other
"UNIV BELGRADE, INST ART HISTORY, FACULTY PHILOSOPHY",Other
UNIV BIELEFELD,Other
"UNIV BOLOGNA, DEPT ARCHITECTURE",Other
"UNIV BORDEAUX, INST MATHEMATIQUES BORDEAUX",Other
UNIV BUFFALO STATE UNIV NEW YORK,Other
UNIV CATHOLIQUE LOUVAIN-UCL,Other
UNIV CATOLICA DE VALPARAISO,Other
UNIV CATOLICA NORTE,Other
UNIV CHICAGO LAW SCH,Other
UNIV CINCINNATI INDUSTRIAL ENGINEERING,Other
UNIV COIMBRA,Other
"UNIV CONCEPCION, BIBLIOTECA CENTRAL",Other
"UNIV DENVER, STURM COLLEGE LAW",Other
"UNIV FED RURAL PERNAMBUCO, DEPT ADMINISTRACAO",Other
UNIV FEDERAL CAMPINA GRANDE,Other
"UNIV FEDERAL SANTA CATARINA, PROGRAMA POS-GRADUACAO & LETRAS-INGLES",Other
UNIV FEDERATION ANIMAL WELFARE,Other
UNIV GEORGIA,Other
UNIV GEORGIA PRESS,Other
"UNIV GEORGIA, COLL EDUCATION",Other
UNIV HAWAII PRESS,Other
"UNIV HAWAII, NATL FOREIGN LANGUAGE RESOURCE CENTER",Other
UNIV HOUSTON,Other
UNIV ILLINOIS,Other
UNIV ILLINOIS PRESS,Other
"UNIV ILLINOIS, URBANA-CHAMPAIGN",Other
"UNIV IOWA, COLL LAW",Other
UNIV KANSAS,Other
UNIV LOUISIANA MONROE,Other
"UNIV MARIBOR, FAC MECHANICAL ENGINEERING",Other
UNIV MASSACHUSETTS MASSACHUSETTS REVIEW,Other
"UNIV MELBOURNE, MELBOURNE SCH ENGINEERING",Other
"UNIV MICHIGAN LIBRARY,  MPUBLISHING",Other
UNIV MIGUEL HERNANDEZ ELCHE,Other
UNIV MINNESOTA PRESS,Other
"UNIV MINNESOTA, CENTER TRANSPORTATION STUDIES",Other
UNIV NACIONAL AUTONOMA MEXICO,Other
UNIV NAPLES FEDERICO II,Other
UNIV NEBRASKA PRESS,Other
UNIV NEW MEXICO,Other
"UNIV NEW MEXICO, DEPT ANTHROPOL",Other
"UNIV NEW MEXICO, SCH LAW",Other
UNIV NORTH CAROLINA,Other
UNIV NORTH CAROLINA PRESS,Other
"UNIV NORTHERN COLORADO C/O ESTER G. GONZALEZ, EDITOR",Other
UNIV OF WISCONSIN EXTENSION JOURNAL INC,Other
UNIV PENN LAW SCH,Other
UNIV PENNSYLVANIA PRESS,Other
"UNIV PITTSBURGH, UNIV LIBRARY SYSTEM",Other
UNIV PRESS COLORADO,Other
"UNIV PRETORIA, DEPT ECONOMICS",Other
"UNIV SAN SEBASTIAN FAC AQUITECTURA & ARTE, ESCUELA ARQUITECTURA, SANTIAGO",Other
UNIV SANTIAGO CHILE CASA,Other
UNIV SAO PAOLO,Other
UNIV SOUTHERN CALIF,Other
UNIV TARAPACA,Other
UNIV TEHRAN,Other
UNIV TEXAS BROWNSVILLE & TEXAS SOUTHMOST COLL,Other
UNIV TEXAS PRESS,Other
UNIV TORONTO PRESS INC,Other
"UNIV TRIPOLI, FAC VET MED",Other
UNIV VIRGINIA LAW REVIEW ASSOC,Other
UNIV WASHINGTON SCHOOL OF LAW,Other
"UNIV WASHINGTON, DEPT MATHEMATICS",Other
UNIV WISCONSIN,Other
UNIV WISCONSIN LAW SCHOOL,Other
UNIV WISCONSIN PRESS,Other
UNIV ZAGREB VET FACULTY,Other
"UNIV ZAGREB, FAC KINESIOLOGY",Other
"UNIV ZULIA, FACULTAD CIENCIAS VETERINARIAS",Other
UNIVELT INC,Other
US GOVERNMENT PRINTING OFFICE,Other
USC ANNENBERG PRESS,Other
USENIX ASSOC,Other
UTAH STATE UNIV,Other
UTAH STATE UNIV PRESS,Other
VANDERBILT LAW REVIEW,Other
VARAZDIN DEVELOPMENT & ENTREPRENEURSHIP AGENCY,Other
VDF HOCHSCHULVERLAG AG AN DER ETH ZURICH,Other
VENDOME GROUP LLC,Other
VERDUCI PUBLISHER,Other
VERLAG FERDINAND BERGER SOHNE GESELLSCHAFT MBH,Other
VERLAG HANS HUBER,Other
VETERINARY SOLUTIONS LLC,Other
VIA MEDICA,Other
VILNIUS GEDIMINAS TECH UNIV,Other
VINCA INST NUCLEAR SCI,Other
W W F VERLAGSGESELLSCHAFT GMBH,Other
WAGENINGEN ACAD PUBL,Other
WAGENINGEN ACADEMIC PUBLISHERS,Other
WATER ENVIRONMENT FEDERATION,Other
WATER RESEARCH COMMISSION,Other
WATERBIRD SOC,Other
WAYNE STATE UNIV PRESS,Other
WEED SCI SOC AMER,Other
WEIDER HIST GRP INC,Other
WEST CHESTER UNIV,Other
WESTERN AGRICULTURAL ECONOMICS ASSOC,Other
WESTERN HISTORY ASSOC,Other
WHO EASTERN MEDITERRANEAN REGIONAL OFFICE,Other
WICHTIG PUBLISHING,Other
WILDLIFE BIOLOGY,Other
"WILDLIFE DISEASE ASSOC, INC",Other
WILLIAM ANDREW INC,Other
WILSON ORNITHOLOGICAL SOC,Other
WIT PRESS,Other
WOMENS HEALTH & ACTION RESEARCH CENTRE,Other
WOODHEAD PUBL LTD,Other
WORLD HEALTH ORGANIZATION,Other
WORLD POETRY INC,Other
WUHAN UNIV JOURNALS PRESS,Other
WYDAWNICTWO SIGMA-N O T SP Z O O,Other
WYDAWNICZY POLSKIEGO TOWARZYSTWA,Other
YALE LAW J CO INC,Other
YOKOHAMA PUBL,Other
YONSEI UNIV COLL MEDICINE,Other
ZRC PUBLISHING,Other
OXFORD UNIV PRESS,OUP
OXFORD UNIV PRESS INC,OUP
PEERJ INC,PeerJ
PENSOFT PUBL,Pensoft
PUBLIC LIBRARY SCIENCE,PLoS
PORTLAND PRESS LTD,Portland Press
PROJECT HOPE,Project Hope
RADIOLOGICAL SOC NORTH AMERICA,Radiological Society
ROCKEFELLER UNIV PRESS,Rockefeller University Press
ROYAL SOC,Royal Society
ROYAL SOC CHEMISTRY,RSC
CANADIAN PSYCHIATRIC ASSOC,SAGE
SAGE PUBLICATIONS INC,SAGE
SAGE PUBLICATIONS LTD,SAGE
SCIENCE PRESS,Science Press
SCIENCE PRESS BEIJING,Science Press
SEISMOLOGICAL SOC AMER,Seismological Society of America
SIAM PUBLICATIONS,SIAM
SLACK INC,Slack
SOC NEUROSCIENCE,Society for Neuroscience
SOIL SCI SOC AMER,Soil Science Society of America
SOUTHEASTERN SURGICAL CONGRESS,Southeastern Surgical Congress
SPIE-INT SOC OPTICAL ENGINEERING,SPIE
SPIE-SOC PHOTO-OPTICAL INSTRUMENTATION ENGINEERS,SPIE
ADIS INT LTD,Springer-Nature
MAIK NAUKA/INTERPERIODICA/SPRINGER,Springer-Nature
NATURE PUBLISHING GROUP,Springer-Nature
SPRINGER,Springer-Nature
SPRINGER BASEL AG,Springer-Nature
SPRINGER BIRKHAUSER,Springer-Nature
